mem: 140737129891526, val: 0
mem: 140737129891525, val: 0
mem: 140737129891524, val: 0
mem: 140737129891523, val: 0
mem: 140737129891522, val: 0
mem: 140737129891521, val: 0
mem: 140737129891520, val: 15
mem: 140737129891519, val: 0
mem: 140737129891518, val: 0
mem: 140737129891517, val: 127
mem: 140737129891516, val: 255
mem: 140737129891515, val: 234
mem: 140737129891514, val: 162
mem: 140737129891513, val: 70
mem: 140737129891512, val: 249
mem: 140737129891511, val: 0
mem: 140737129891510, val: 0
mem: 140737129891509, val: 0
mem: 140737129891508, val: 0
mem: 140737129891507, val: 0
mem: 140737129891506, val: 0
mem: 140737129891505, val: 0
mem: 140737129891504, val: 2
mem: 140737129891503, val: 0
mem: 140737129891502, val: 0
mem: 140737129891501, val: 0
mem: 140737129891500, val: 0
mem: 140737129891499, val: 0
mem: 140737129891498, val: 0
mem: 140737129891497, val: 0
mem: 140737129891496, val: 1
mem: 140737129891495, val: 0
mem: 140737129891494, val: 0
mem: 140737129891493, val: 0
mem: 140737129891492, val: 0
mem: 140737129891491, val: 0
mem: 140737129891490, val: 0
mem: 140737129891489, val: 0
mem: 140737129891488, val: 0
mem: 140737129891487, val: 0
mem: 140737129891486, val: 0
mem: 140737129891485, val: 0
mem: 140737129891484, val: 1
mem: 140737129891483, val: 0
mem: 140737129891482, val: 0
mem: 140737129891481, val: 0
mem: 140737129891480, val: 3
mem: 140737129891479, val: 0
mem: 140737129891478, val: 0
mem: 140737129891477, val: 0
mem: 140737129891476, val: 0
mem: 140737129891475, val: 0
mem: 140737129891474, val: 0
mem: 140737129891473, val: 0
mem: 140737129891472, val: 3
mem: 140737129891471, val: 0
mem: 140737129891470, val: 0
mem: 140737129891469, val: 127
mem: 140737129891468, val: 43
mem: 140737129891467, val: 250
